Precinct 2020,Registered Voters Ballots Cast Voter Turnout 2020,Ballots Cast 2020,Voter 2020,Precinct 2016,Registered Voters Ballots Cast Voter Turnout 2016,Ballots Cast 2016,Voter 2016
ALEPPO,1388,1121,80.76%,ALEPPO,1373,1036,75.46%
ASPINWALL DIST 1,861,725,84.20%,ASPINWALL DIST 1,864,636,73.61%
ASPINWALL DIST 2,572,476,83.22%,ASPINWALL DIST 2,595,433,72.77%
ASPINWALL DIST 3,856,707,82.59%,ASPINWALL DIST 3,864,657,76.04%
AVALON WARD 1,1108,831,75.00%,AVALON WARD 1,1102,723,65.61%
AVALON WARD 2 DIST 1,717,574,80.06%,AVALON WARD 2 DIST 1,707,509,71.99%
AVALON WARD 2 DIST 2,487,385,79.06%,AVALON WARD 2 DIST 2,474,336,70.89%
AVALON WARD 3 DIST 1,320,259,80.94%,AVALON WARD 3 DIST 1,330,251,76.06%
AVALON WARD 3 DIST 2,454,352,77.53%,AVALON WARD 3 DIST 2,490,339,69.18%
AVALON WARD 3 DIST 3,507,386,76.13%,AVALON WARD 3 DIST 3,481,336,69.85%
BALDWIN BR DIST 1,626,516,82.43%,BALDWIN BR DIST 1,568,428,75.35%
BALDWIN BR DIST 2,1024,890,86.91%,BALDWIN BR DIST 2,994,792,79.68%
BALDWIN BR DIST 3,838,685,81.74%,BALDWIN BR DIST 3,802,607,75.69%
BALDWIN BR DIST 4,782,656,83.89%,BALDWIN BR DIST 4,756,583,77.12%
BALDWIN BR DIST 5,824,677,82.16%,BALDWIN BR DIST 5,782,583,74.55%
BALDWIN BR DIST 6,764,632,82.72%,BALDWIN BR DIST 6,749,576,76.90%
BALDWIN BR DIST 7,820,681,83.05%,BALDWIN BR DIST 7,803,592,73.72%
BALDWIN BR DIST 8,715,620,86.71%,BALDWIN BR DIST 8,705,558,79.15%
BALDWIN BR DIST 9,769,659,85.70%,BALDWIN BR DIST 9,750,576,76.80%
BALDWIN BR DIST 10,1067,652,61.11%,BALDWIN BR DIST 10,1012,614,60.67%
BALDWIN BR DIST 11,1294,874,67.54%,BALDWIN BR DIST 11,1083,680,62.79%
BALDWIN BR DIST 12,634,529,83.44%,BALDWIN BR DIST 12,621,473,76.17%
BALDWIN BR DIST 13,688,619,89.97%,BALDWIN BR DIST 13,674,554,82.20%
BALDWIN BR DIST 14,613,530,86.46%,BALDWIN BR DIST 14,591,460,77.83%
BALDWIN BR DIST 15,798,675,84.59%,BALDWIN BR DIST 15,770,588,76.36%
BALDWIN BR DIST 16,914,761,83.26%,BALDWIN BR DIST 16,883,661,74.86%
BALDWIN BR DIST 17,677,589,87.00%,BALDWIN BR DIST 17,680,525,77.21%
BALDWIN BR DIST 18,938,772,82.30%,BALDWIN BR DIST 18,924,734,79.44%
BALDWIN TP DIST 1,806,702,87.10%,BALDWIN TP DIST 1,765,641,83.79%
BALDWIN TP DIST 2,757,627,82.83%,BALDWIN TP DIST 2,709,553,78.00%
BELL ACRES,1205,1017,84.40%,BELL ACRES,1123,876,78.01%
BELLEVUE WARD 1 DIST 1,970,703,72.47%,BELLEVUE WARD 1 DIST 1,1020,657,64.41%
BELLEVUE WARD 1 DIST 2,987,744,75.38%,BELLEVUE WARD 1 DIST 2,963,638,66.25%
BELLEVUE WARD 2 DIST 1,1146,822,71.73%,BELLEVUE WARD 2 DIST 1,1133,738,65.14%
BELLEVUE WARD 2 DIST 2,1010,758,75.05%,BELLEVUE WARD 2 DIST 2,967,657,67.94%
BELLEVUE WARD 3 DIST 1,1040,776,74.62%,BELLEVUE WARD 3 DIST 1,1014,674,66.47%
BELLEVUE WARD 3 DIST 2,1019,796,78.12%,BELLEVUE WARD 3 DIST 2,926,655,70.73%
BEN AVON DIST 1,479,417,87.06%,BEN AVON DIST 1,473,403,85.20%
BEN AVON DIST 2,986,846,85.80%,BEN AVON DIST 2,949,744,78.40%
BEN AVON HT,337,301,89.32%,BEN AVON HT,314,265,84.39%
BETHEL PARK WARD 1 DIST 1,883,742,84.03%,BETHEL PARK WARD 1 DIST 1,875,687,78.51%
BETHEL PARK WARD 1 DIST 2,783,676,86.33%,BETHEL PARK WARD 1 DIST 2,820,614,74.88%
BETHEL PARK WARD 1 DIST 3,848,727,85.73%,BETHEL PARK WARD 1 DIST 3,820,616,75.12%
BETHEL PARK WARD 2 DIST 1,743,642,86.41%,BETHEL PARK WARD 2 DIST 1,734,610,83.11%
BETHEL PARK WARD 2 DIST 2,950,822,86.53%,BETHEL PARK WARD 2 DIST 2,908,742,81.72%
BETHEL PARK WARD 2 DIST 3,1121,939,83.76%,BETHEL PARK WARD 2 DIST 3,1113,843,75.74%
BETHEL PARK WARD 3 DIST 1,809,709,87.64%,BETHEL PARK WARD 3 DIST 1,792,667,84.22%
BETHEL PARK WARD 3 DIST 2,1100,960,87.27%,BETHEL PARK WARD 3 DIST 2,927,736,79.40%
BETHEL PARK WARD 3 DIST 3,1094,980,89.58%,BETHEL PARK WARD 3 DIST 3,1061,853,80.40%
BETHEL PARK WARD 4 DIST 1,1328,1136,85.54%,BETHEL PARK WARD 4 DIST 1,1300,1021,78.54%
BETHEL PARK WARD 4 DIST 2,800,662,82.75%,BETHEL PARK WARD 4 DIST 2,806,584,72.46%
BETHEL PARK WARD 4 DIST 3,910,765,84.07%,BETHEL PARK WARD 4 DIST 3,869,669,76.99%
BETHEL PARK WARD 5 DIST 1,714,612,85.71%,BETHEL PARK WARD 5 DIST 1,603,494,81.92%
BETHEL PARK WARD 5 DIST 2,679,540,79.53%,BETHEL PARK WARD 5 DIST 2,644,465,72.20%
BETHEL PARK WARD 5 DIST 3,1499,1226,81.79%,BETHEL PARK WARD 5 DIST 3,1478,1078,72.94%
BETHEL PARK WARD 6 DIST 1,1320,1106,83.79%,BETHEL PARK WARD 6 DIST 1,1283,992,77.32%
BETHEL PARK WARD 6 DIST 2,960,844,87.92%,BETHEL PARK WARD 6 DIST 2,963,775,80.48%
BETHEL PARK WARD 6 DIST 3,879,762,86.69%,BETHEL PARK WARD 6 DIST 3,767,625,81.49%
BETHEL PARK WARD 7 DIST 1,1214,1066,87.81%,BETHEL PARK WARD 7 DIST 1,1139,934,82.00%
